Topic,Count,Name,Representation,Representative_Docs
181,22,181_walter_shepherd_admiral_tenant,"['walter', 'shepherd', 'admiral', 'tenant', 'sir', 'croft', 'taunton', 'kellynch', 'mr', 'hall']","['""I must take leave to observe, Sir Walter,"" said Mr Shepherd one morning at Kellynch Hall, as he laid down the newspaper, ""that the present juncture is much in our favour.  This peace will be turning all our rich naval officers ashore.  They will be all wanting a home.  Could not be a better time, Sir Walter, for having a choice of tenants, very responsible tenants. Many a noble fortune has been made during the war.  If a rich admiral were to come in our way, Sir Walter--""', 'Sir Walter was not very wise; but still he had experience enough of the world to feel, that a more unobjectionable tenant, in all essentials, than Admiral Croft bid fair to be, could hardly offer. So far went his understanding; and his vanity supplied a little additional soothing, in the Admiral\'s situation in life, which was just high enough, and not too high.  ""I have let my house to Admiral Croft,"" would sound extremely well; very much better than to any mere Mr--; a Mr (save, perhaps, some half dozen in the nation,) always needs a note of explanation.  An admiral speaks his own consequence, and, at the same time, can never make a baronet look small. In all their dealings and intercourse, Sir Walter Elliot must ever have the precedence.', ""It seemed as if Mr Shepherd, in this anxiety to bespeak Sir Walter's good will towards a naval officer as tenant, had been gifted with foresight; for the very first application for the house was from an Admiral Croft, with whom he shortly afterwards fell into company in attending the quarter sessions at Taunton; and indeed, he had received a hint of the Admiral from a London correspondent. By the report which he hastened over to Kellynch to make, Admiral Croft was a native of Somersetshire, who having acquired a very handsome fortune, was wishing to settle in his own country, and had come down to Taunton in order to look at some advertised places in that immediate neighbourhood, which, however, had not suited him; that accidentally hearing--(it was just as he had foretold, Mr Shepherd observed, Sir Walter's concerns could not be kept a secret,)-- accidentally hearing of the possibility of Kellynch Hall being to let, and understanding his (Mr Shepherd's) connection with the owner, he had introduced himself to him in order to make particular inquiries, and had, in the course of a pretty long conference, expressed as strong an inclination for the place as a man who knew it only by description could feel; and given Mr Shepherd, in his explicit account of himself, every proof of his being a most responsible, eligible tenant.""]"
182,22,182_gold_overlaid_rings_staves,"['gold', 'overlaid', 'rings', 'staves', '37', 'four', 'shittim', 'corners', 'thereof', 'made']","['37:15 And he made the staves of shittim wood, and overlaid them with gold, to bear the table.', '37:4 And he made staves of shittim wood, and overlaid them with gold.', '37:28 And he made the staves of shittim wood, and overlaid them with gold.']"
183,22,183_polon_reynol_doe_reynoldo,"['polon', 'reynol', 'doe', 'reynoldo', 'closes', 'tenders', 'ophe', 'looke', 'arme', 'selfe']","['Polon. Fare you well my Lord', 'Polon. Wherefore should you doe this?   Reynol. I my Lord, I would know that', 'Polon. I will say so. Enter.']"
184,21,184_rosin_spundge_ham_vs,"['rosin', 'spundge', 'ham', 'vs', 'meanes', 'ambition', 'owne', 'thinke', 'preserued', 'behauior']","[""Rosin. I thinke their Inhibition comes by the meanes of the late Innouation?   Ham. Doe they hold the same estimation they did when I was in the City? Are they so follow'd?   Rosin. No indeed, they are not"", 'Rosin. We thinke not so my Lord', 'Rosin. Then is the World one']"
185,21,185_drink_water_pitcher_camels,"['drink', 'water', 'pitcher', 'camels', '24', 'draw', 'pray', 'thirst', 'woman', 'give']","['24:46 And she made haste, and let down her pitcher from her shoulder, and said, Drink, and I will give thy camels drink also: so I drank, and she made the camels drink also.', '24:13 Behold, I stand here by the well of water; and the daughters of the men of the city come out to draw water: 24:14 And let it come to pass, that the damsel to whom I shall say, Let down thy pitcher, I pray thee, that I may drink; and she shall say, Drink, and I will give thy camels drink also: let the same be she that thou hast appointed for thy servant Isaac; and thereby shall I know that thou hast shewed kindness unto my master.', ""24:42 And I came this day unto the well, and said, O LORD God of my master Abraham, if now thou do prosper my way which I go: 24:43 Behold, I stand by the well of water; and it shall come to pass, that when the virgin cometh forth to draw water, and I say to her, Give me, I pray thee, a little water of thy pitcher to drink; 24:44 And she say to me, Both drink thou, and I will also draw for thy camels: let the same be the woman whom the LORD hath appointed out for my master's son.""]"
186,21,186_sister_your_mentioning_certainly,"['sister', 'your', 'mentioning', 'certainly', 'brother', 'do', 'dear', 'you', 'constantia', 'would']","['""Her guardians, my dear.  But now she is of age and may choose for herself; and a pretty choice she has made!--What now,"" after pausing a moment--""your poor sister is gone to her own room, I suppose, to moan by herself. Is there nothing one can get to comfort her?  Poor dear, it seems quite cruel to let her be alone.  Well, by-and-by we shall have a few friends, and that will amuse her a little. What shall we play at?  She hates whist I know; but is there no round game she cares for?""', '""My dear,"" said she, entering, ""I have just recollected that I have some of the finest old Constantia wine in the house that ever was tasted, so I have brought a glass of it for your sister.  My poor husband! how fond he was of it! Whenever he had a touch of his old colicky gout, he said it did him more good than any thing else in the world. Do take it to your sister.""', '""Well, my dear, I must be gone before I have had half my talk out.  But, however, we may have it all over in the evening; for we shall be quite alone.  I do not ask you to go with me, for I dare say your mind is too full of the matter to care for company; and besides, you must long to tell your sister all about it.""']"
187,20,187_amnon_tamar_absalom_13,"['amnon', 'tamar', 'absalom', '13', 'brother', 'cakes', 'jonadab', 'sister', 'shimeah', 'king']","['13:6 So Amnon lay down, and made himself sick: and when the king was come to see him, Amnon said unto the king, I pray thee, let Tamar my sister come, and make me a couple of cakes in my sight, that I may eat at her hand.', '13:22 And Absalom spake unto his brother Amnon neither good nor bad: for Absalom hated Amnon, because he had forced his sister Tamar.', ""13:26 Then said Absalom, If not, I pray thee, let my brother Amnon go with us. And the king said unto him, Why should he go with thee? 13:27 But Absalom pressed him, that he let Amnon and all the king's sons go with him.""]"
188,20,188_jehu_chariot_joram_chariots,"['jehu', 'chariot', 'joram', 'chariots', 'naboth', 'watchman', 'jehonadab', 'captains', 'plat', 'peace']","['9:17 And there stood a watchman on the tower in Jezreel, and he spied the company of Jehu as he came, and said, I see a company. And Joram said, Take an horseman, and send to meet them, and let him say, Is it peace?  9:18 So there went one on horseback to meet him, and said, Thus saith the king, Is it peace? And Jehu said, What hast thou to do with peace? turn thee behind me. And the watchman told, saying, The messenger came to them, but he cometh not again.', '9:16 So Jehu rode in a chariot, and went to Jezreel; for Joram lay there.', '9:21 And Joram said, Make ready. And his chariot was made ready. And Joram king of Israel and Ahaziah king of Judah went out, each in his chariot, and they went out against Jehu, and met him in the portion of Naboth the Jezreelite.']"
189,20,189_jubile_redeem_estimation_year,"['jubile', 'redeem', 'estimation', 'year', 'sold', 'possession', 'bought', 'field', '27', '25']","['27:17 If he sanctify his field from the year of jubile, according to thy estimation it shall stand.', '27:18 But if he sanctify his field after the jubile, then the priest shall reckon unto him the money according to the years that remain, even unto the year of the jubile, and it shall be abated from thy estimation.', '25:28 But if he be not able to restore it to him, then that which is sold shall remain in the hand of him that hath bought it until the year of jubile: and in the jubile it shall go out, and he shall return unto his possession.']"
190,20,190_pol_ham_betweene_helpe,"['pol', 'ham', 'betweene', 'helpe', 'ile', 'fishmonger', 'madnesse', 'farre', 'meane', 'ayre']","['Pol. What is the matter, my Lord?   Ham. Betweene who?   Pol. I meane the matter you meane, my Lord', 'Pol. Well be with you Gentlemen', ""Pol. That's very true, my Lord""]"
191,20,191_44_lad_brother_43,"['44', 'lad', 'brother', '43', 'father', 'servant', 'hairs', 'youngest', 'down', 'gray']","['43:6 And Israel said, Wherefore dealt ye so ill with me, as to tell the man whether ye had yet a brother?  43:7 And they said, The man asked us straitly of our state, and of our kindred, saying, Is your father yet alive? have ye another brother? and we told him according to the tenor of these words: could we certainly know that he would say, Bring your brother down?  43:8 And Judah said unto Israel his father, Send the lad with me, and we will arise and go; that we may live, and not die, both we, and thou, and also our little ones.', '44:27 And thy servant my father said unto us, Ye know that my wife bare me two sons: 44:28 And the one went out from me, and I said, Surely he is torn in pieces; and I saw him not since: 44:29 And if ye take this also from me, and mischief befall him, ye shall bring down my gray hairs with sorrow to the grave.', ""44:30 Now therefore when I come to thy servant my father, and the lad be not with us; seeing that his life is bound up in the lad's life; 44:31 It shall come to pass, when he seeth that the lad is not with us, that he will die: and thy servants shall bring down the gray hairs of thy servant our father with sorrow to the grave.""]"
